"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSG00000000003",708.583896732609,0.378837855581804,0.173101844221322,2.18852582007986,0.0286313225883209,0.136383383715138
"ENSG00000000419",520.283303990082,-0.20376705281506,0.100332399324439,-2.03091976457327,0.0422631344766075,0.177655822652629
"ENSG00000000457",237.15682225101,-0.0340550920233132,0.126107567151533,-0.270047966133483,0.787123352281772,0.927515767574141
"ENSG00000000460",57.9312370304882,0.117192365070225,0.301659911862422,0.388491677089906,0.697652212088526,0.891163020969318
"ENSG00000000971",5817.19119555537,-0.440966230204202,0.258981909009142,-1.70269124932829,0.0886258633368297,0.293579082188915
"ENSG00000001036",1282.07367384613,0.241926007654862,0.119481908351774,2.02479196216546,0.0428887307811011,0.17938986669168
"ENSG00000001084",609.880323877531,0.0296043786269144,0.231710526391921,0.127764496019662,0.898335347808833,0.969175840586304
"ENSG00000001167",369.332191471127,0.489624563873949,0.210938104799253,2.32117646235572,0.0202773219835024,0.105840388765388
"ENSG00000001460",183.232304900063,0.133400830840993,0.16501654347622,0.80840882999235,0.418855270479443,0.711723966917658
"ENSG00000001461",2813.79003922351,0.0426849504398346,0.29140729205359,0.14647866269587,0.883543532932905,0.96283658262529
"ENSG00000001497",539.809012933789,0.00246557851462664,0.0977150075863792,0.0252323422525152,0.979869639776236,0.994559267170018
"ENSG00000001561",114.036585116779,-0.269666801920269,0.86457286034129,-0.311907549137985,0.755110785139619,0.91553009232722
"ENSG00000001617",598.652336335928,0.247537263537999,0.171156363658544,1.4462638621596,0.148103207615394,0.403790189972624
"ENSG00000001626",5.76479639204871,1.05601882627349,0.638179027615534,1.65473759020122,0.0979777384770785,0.313219407348104
"ENSG00000001629",1779.7802490585,0.226233560334323,0.131498859498542,1.72042222417018,0.0853557200882748,0.286380501849313
"ENSG00000001630",54.7256592711578,-0.0122272787420215,0.300838249313476,-0.0406440297067432,0.967579682508309,0.990818846624993
"ENSG00000001631",785.43046641425,0.0363633386651847,0.107679769605559,0.337698889943647,0.735590111367534,0.907894569311136
"ENSG00000002016",183.854859654866,0.308484897352048,0.160691199559187,1.91973734839427,0.0548910841185119,0.213770802015279
"ENSG00000002079",1.42770643100831,2.03269770781861,1.56428884847274,1.29943885351045,0.19379336509578,NA
"ENSG00000002330",178.051533904695,-0.0900000596069694,0.144795924575106,-0.621564867043521,0.53422802872095,0.794096427135387
"ENSG00000002549",1253.60185791422,-0.180135991864637,0.167339160303589,-1.07647242604679,0.281716026382298,0.582571771978859
"ENSG00000002586",8285.22374630697,-0.088162487051708,0.122223192102991,-0.721323715530342,0.47071036906923,0.750229590606778
"ENSG00000002745",6.89974473684951,0.28221424739357,0.96874634296657,0.291319032523366,0.770807332551294,0.921671760039904
"ENSG00000002746",108.43879735002,-0.112542314423671,0.296346924580422,-0.379765420488207,0.70411955310295,0.894379439358209
"ENSG00000002822",349.797025687683,0.157583290323144,0.133476184957421,1.18060978723218,0.23775777377771,0.532865543036773
"ENSG00000002834",7168.64583516953,-0.398597630319347,0.10215253348396,-3.90198477438579,9.54071601282785e-05,0.00144643641844688
"ENSG00000002919",250.501956562898,-0.391403817480391,0.146753280197644,-2.66708735200507,0.00765117826315859,0.0507264077489032
"ENSG00000002933",540.252240959704,-0.402471776578396,1.421611813847,-0.283109476622366,0.777092917361974,0.92397105355681
"ENSG00000003056",1065.2415631037,0.0713536325804516,0.0913280598977001,0.78128926269076,0.434632383835236,0.723942100935993
"ENSG00000003096",377.96637868177,0.920197114642966,0.186959000010597,4.92191932236912,8.56995447934164e-07,2.35602223523873e-05
"ENSG00000003137",104.513219328206,1.13960446244799,0.544790746403851,2.09182052002624,0.0364545740330862,0.160966979711777
"ENSG00000003249",116.346794068818,0.322588099263412,0.323366988662084,0.997591314432264,0.318477574503046,0.622020075169436
